Test no, Test Name, Learner, Trainer, C_0, C_1, C_2, C_3, C_4, Value selected , Correction , Date, Answering Time (ms), Other Parameters,,,,,,,,,,,,
159, dice, Lula, Lizandro,6,0,,,,6,true, [2023-09-26 09:11(11.769)],614, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
160, dice, Lula, Lizandro,7,6,,,,7,true, [2023-09-26 09:11(13.521)],742, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
161, dice, Lula, Lizandro,5,7,,,,7,true, [2023-09-26 09:11(15.184)],646, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
162, dice, Lula, Lizandro,9,2,,,,9,true, [2023-09-26 09:11(16.833)],568, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
163, dice, Lula, Lizandro,3,0,,,,3,true, [2023-09-26 09:11(18.705)],870, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
164, dice, Lula, Lizandro,3,2,,,,3,true, [2023-09-26 09:11(20.505)],798, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
165, dice, Lula, Lizandro,6,1,,,,6,true, [2023-09-26 09:11(22.1)],492, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
166, dice, Lula, Lizandro,1,6,,,,6,true, [2023-09-26 09:11(23.553)],539, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
167, dice, Lula, Lizandro,3,7,,,,7,true, [2023-09-26 09:11(25.217)],662, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
168, dice, Lula, Lizandro,4,5,,,,5,true, [2023-09-26 09:11(26.897)],664, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
169, dice, Lula, Lizandro,7,3,,,,7,true, [2023-09-26 09:11(28.481)],579, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
170, dice, Lula, Lizandro,4,2,,,,4,true, [2023-09-26 09:11(30.57)],573, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
171, dice, Lula, Lizandro,2,0,,,,2,true, [2023-09-26 09:11(31.617)],554, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
172, dice, Lula, Lizandro,0,1,,,,1,true, [2023-09-26 09:11(33.321)],615, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
173, dice, Lula, Lizandro,5,0,,,,5,true, [2023-09-26 09:11(34.849)],526, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
174, dice, Lula, Lizandro,7,2,,,,7,true, [2023-09-26 09:11(36.361)],509, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
175, dice, Lula, Lizandro,5,9,,,,9,true, [2023-09-26 09:11(37.985)],619, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
176, dice, Lula, Lizandro,7,1,,,,7,true, [2023-09-26 09:11(39.489)],492, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
177, dice, Lula, Lizandro,5,6,,,,6,true, [2023-09-26 09:11(41.361)],867, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
178, dice, Lula, Lizandro,3,2,,,,3,true, [2023-09-26 09:11(42.881)],518, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
179, dice, Lula, Lizandro,4,3,,,,4,true, [2023-09-26 09:11(44.473)],590, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
180, dice, Lula, Lizandro,5,4,,,,5,true, [2023-09-26 09:11(46.201)],718, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
181, dice, Lula, Lizandro,2,3,,,,3,true, [2023-09-26 09:11(47.921)],717, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
182, flower, Lula, Lizandro,7,0,,,,7,true, [2023-09-26 09:11(58.969)],990, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
183, flower, Lula, Lizandro,1,4,,,,4,true, [2023-09-26 09:12(00.664)],693, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
184, flower, Lula, Lizandro,6,8,,,,8,true, [2023-09-26 09:12(02.464)],797, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
185, flower, Lula, Lizandro,0,1,,,,1,true, [2023-09-26 09:12(04.192)],725, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
186, flower, Lula, Lizandro,0,7,,,,7,true, [2023-09-26 09:12(05.864)],669, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
187, flower, Lula, Lizandro,7,2,,,,7,true, [2023-09-26 09:12(07.664)],794, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
188, flower, Lula, Lizandro,5,7,,,,7,true, [2023-09-26 09:12(09.432)],765, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
189, flower, Lula, Lizandro,3,4,,,,4,true, [2023-09-26 09:12(11.400)],966, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
190, flower, Lula, Lizandro,2,0,,,,2,true, [2023-09-26 09:12(13.312)],899, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
191, flower, Lula, Lizandro,2,5,,,,5,true, [2023-09-26 09:12(14.952)],637, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
192, flower, Lula, Lizandro,9,8,,,,8,false, [2023-09-26 09:12(17.240)],1008, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
193, flower, Lula, Lizandro,2,1,,,,2,true, [2023-09-26 09:12(19.440)],1197, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
194, flower, Lula, Lizandro,3,0,,,,3,true, [2023-09-26 09:12(21.96)],644, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
195, flower, Lula, Lizandro,8,7,,,,8,true, [2023-09-26 09:12(23.304)],1206, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
196, flower, Lula, Lizandro,6,1,,,,6,true, [2023-09-26 09:12(25.184)],876, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
197, flower, Lula, Lizandro,1,2,,,,2,true, [2023-09-26 09:12(27.200)],1012, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
198, flower, Lula, Lizandro,3,9,,,,9,true, [2023-09-26 09:12(29.120)],915, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
199, flower, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:12(30.912)],785, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
200, flower, Lula, Lizandro,5,8,,,,8,true, [2023-09-26 09:12(32.808)],889, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
201, flower, Lula, Lizandro,7,6,,,,7,true, [2023-09-26 09:12(34.424)],611, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
202, flower, Lula, Lizandro,7,0,,,,7,true, [2023-09-26 09:12(36.184)],720, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
203, flower, Lula, Lizandro,3,0,,,,3,true, [2023-09-26 09:12(37.832)],633, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
204, flower, Lula, Lizandro,9,4,,,,9,true, [2023-09-26 09:12(39.568)],734, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
205, flower, Lula, Lizandro,5,8,,,,8,true, [2023-09-26 09:12(41.560)],978, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
206, flower, Lula, Lizandro,9,5,,,,9,true, [2023-09-26 09:12(43.376)],813, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
207, flower, Lula, Lizandro,2,6,,,,6,true, [2023-09-26 09:12(45.112)],731, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
208, flower, Lula, Lizandro,8,9,,,,9,true, [2023-09-26 09:12(47.344)],1228, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
209, flower, Lula, Lizandro,4,2,,,,4,true, [2023-09-26 09:12(49.200)],853, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
210, flower, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:12(51.264)],1059, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
211, flower, Lula, Lizandro,3,0,,,,3,true, [2023-09-26 09:12(52.848)],581, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
212, flower, Lula, Lizandro,2,6,,,,6,true, [2023-09-26 09:12(54.584)],664, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
213, flower, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:12(56.168)],571, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
214, flower, Lula, Lizandro,8,0,,,,8,true, [2023-09-26 09:12(57.776)],604, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
215, flower, Lula, Lizandro,9,1,,,,9,true, [2023-09-26 09:12(59.609)],829, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
216, flower, Lula, Lizandro,5,1,,,,5,true, [2023-09-26 09:13(01.160)],548, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
217, flower, Lula, Lizandro,4,2,,,,4,true, [2023-09-26 09:13(02.840)],672, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
218, flower, Lula, Lizandro,0,7,,,,7,true, [2023-09-26 09:13(04.457)],609, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
219, flower, Lula, Lizandro,3,4,,,,4,true, [2023-09-26 09:13(06.329)],868, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
220, flower, Lula, Lizandro,0,2,,,,2,true, [2023-09-26 09:13(08.1)],669, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
221, flower, Lula, Lizandro,9,2,,,,9,true, [2023-09-26 09:13(09.609)],604, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
222, flower, Lula, Lizandro,7,9,,,,9,true, [2023-09-26 09:13(11.808)],927, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
223, flower, Lula, Lizandro,1,9,,,,9,true, [2023-09-26 09:13(13.440)],623, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
224, flower, Lula, Lizandro,2,9,,,,9,true, [2023-09-26 09:13(15.344)],893, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
225, flower, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:13(17.176)],828, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
226, flower, Lula, Lizandro,1,3,,,,3,true, [2023-09-26 09:13(18.897)],714, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
227, flower, Lula, Lizandro,2,1,,,,2,true, [2023-09-26 09:13(20.840)],941, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
228, flower, Lula, Lizandro,3,6,,,,6,true, [2023-09-26 09:13(22.449)],605, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
229, flower, Lula, Lizandro,3,6,,,,6,true, [2023-09-26 09:13(24.120)],669, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
230, flower, Lula, Lizandro,2,1,,,,2,true, [2023-09-26 09:13(25.888)],764, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
231, flower, Lula, Lizandro,5,9,,,,9,true, [2023-09-26 09:13(27.569)],677, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
232, flower, Lula, Lizandro,1,9,,,,9,true, [2023-09-26 09:13(29.201)],601, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
233, flower, Lula, Lizandro,0,4,,,,4,true, [2023-09-26 09:13(30.744)],541, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
234, flower, Lula, Lizandro,7,8,,,,8,true, [2023-09-26 09:13(33.633)],1885, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
235, flower, Lula, Lizandro,5,2,,,,5,true, [2023-09-26 09:13(35.337)],701, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
236, flower, Lula, Lizandro,7,8,,,,8,true, [2023-09-26 09:13(36.913)],574, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
237, flower, Lula, Lizandro,0,9,,,,9,true, [2023-09-26 09:13(38.537)],618, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
238, flower, Lula, Lizandro,2,6,,,,6,true, [2023-09-26 09:13(40.241)],702, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
239, flower, Lula, Lizandro,4,3,,,,4,true, [2023-09-26 09:13(42.577)],1323, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
240, flower, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:13(44.441)],862, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
241, flower, Lula, Lizandro,0,8,,,,8,true, [2023-09-26 09:13(46.241)],797, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
242, flower, Lula, Lizandro,8,5,,,,8,true, [2023-09-26 09:13(48.241)],824, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
243, flower, Lula, Lizandro,8,2,,,,8,true, [2023-09-26 09:13(50.289)],1039, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
244, flower, Lula, Lizandro,2,6,,,,6,true, [2023-09-26 09:13(51.929)],637, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
245, flower, Lula, Lizandro,7,3,,,,7,true, [2023-09-26 09:13(53.769)],822, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
246, flower, Lula, Lizandro,1,5,,,,5,true, [2023-09-26 09:13(55.465)],692, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
247, flower, Lula, Lizandro,2,9,,,,9,true, [2023-09-26 09:13(57.313)],845, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
248, flower, Lula, Lizandro,0,7,,,,7,true, [2023-09-26 09:13(59.105)],789, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
249, flower, Lula, Lizandro,3,7,,,,7,true, [2023-09-26 09:14(01.96)],988, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
250, flower, Lula, Lizandro,8,1,,,,8,true, [2023-09-26 09:14(02.712)],613, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
251, flower, Lula, Lizandro,7,1,,,,7,true, [2023-09-26 09:14(04.600)],878, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
252, flower, Lula, Lizandro,6,0,,,,6,true, [2023-09-26 09:14(06.688)],663, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
253, flower, Lula, Lizandro,3,6,,,,6,true, [2023-09-26 09:14(08.248)],557, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
254, flower, Lula, Lizandro,9,1,,,,9,true, [2023-09-26 09:14(09.737)],485, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
255, flower, Lula, Lizandro,7,1,,,,7,true, [2023-09-26 09:14(11.504)],765, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
256, flower, Lula, Lizandro,8,1,,,,8,true, [2023-09-26 09:14(13.128)],621, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
257, flower, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:14(14.976)],844, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
258, flower, Lula, Lizandro,5,1,,,,5,true, [2023-09-26 09:14(16.616)],624, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
259, flower, Lula, Lizandro,4,1,,,,4,true, [2023-09-26 09:14(18.233)],610, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
260, flower, Lula, Lizandro,7,6,,,,7,true, [2023-09-26 09:14(19.937)],701, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
261, flower, Lula, Lizandro,6,1,,,,6,true, [2023-09-26 09:14(21.537)],598, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
262, flower, Lula, Lizandro,6,8,,,,8,true, [2023-09-26 09:14(23.688)],856, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
263, flower, Lula, Lizandro,0,8,,,,8,true, [2023-09-26 09:14(25.233)],541, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
264, flower, Lula, Lizandro,4,0,,,,4,true, [2023-09-26 09:14(26.874)],637, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
265, flower, Lula, Lizandro,6,3,,,,6,true, [2023-09-26 09:14(28.633)],756, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
266, flower, Lula, Lizandro,7,2,,,,7,true, [2023-09-26 09:14(30.216)],577, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
267, flower, Lula, Lizandro,4,2,,,,4,true, [2023-09-26 09:14(31.856)],625, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
268, flower, Lula, Lizandro,0,3,,,,3,true, [2023-09-26 09:14(33.496)],633, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
269, flower, Lula, Lizandro,6,3,,,,6,true, [2023-09-26 09:14(35.120)],621, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
270, flower, Lula, Lizandro,2,4,,,,4,true, [2023-09-26 09:14(36.761)],638, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
271, flower, Lula, Lizandro,3,4,,,,4,true, [2023-09-26 09:14(38.890)],1127, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
272, flower, Lula, Lizandro,6,9,,,,9,true, [2023-09-26 09:14(41.168)],895, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
273, flower, Lula, Lizandro,0,4,,,,4,true, [2023-09-26 09:14(42.776)],605, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
274, flower, Lula, Lizandro,4,1,,,,4,true, [2023-09-26 09:14(44.369)],589, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
275, flower, Lula, Lizandro,8,1,,,,8,true, [2023-09-26 09:14(45.984)],611, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
276, flower, Lula, Lizandro,9,4,,,,9,true, [2023-09-26 09:14(47.601)],598, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
277, flower, Lula, Lizandro,5,3,,,,5,true, [2023-09-26 09:14(49.232)],618, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
278, flower, Lula, Lizandro,6,2,,,,6,true, [2023-09-26 09:14(50.833)],598, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
279, flower, Lula, Lizandro,4,0,,,,4,true, [2023-09-26 09:14(52.400)],563, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
280, flower, Lula, Lizandro,3,0,,,,3,true, [2023-09-26 09:14(53.960)],553, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
281, flower, Lula, Lizandro,8,1,,,,8,true, [2023-09-26 09:14(55.529)],561, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
282, dice, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:14(59.656)],678, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
283, dice, Lula, Lizandro,2,1,,,,2,true, [2023-09-26 09:15(01.208)],549, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
284, dice, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:15(02.993)],782, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
285, dice, Lula, Lizandro,6,7,,,,7,true, [2023-09-26 09:15(04.568)],572, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
286, dice, Lula, Lizandro,3,4,,,,4,true, [2023-09-26 09:15(06.280)],696, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
287, dice, Lula, Lizandro,4,7,,,,7,true, [2023-09-26 09:15(07.960)],675, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
288, dice, Lula, Lizandro,2,0,,,,2,true, [2023-09-26 09:15(09.504)],540, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
289, dice, Lula, Lizandro,3,6,,,,6,true, [2023-09-26 09:15(11.336)],826, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
290, dice, Lula, Lizandro,7,0,,,,7,true, [2023-09-26 09:15(12.872)],533, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
291, dice, Lula, Lizandro,0,6,,,,6,true, [2023-09-26 09:15(14.368)],489, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
292, dice, Lula, Lizandro,0,1,,,,1,true, [2023-09-26 09:15(16.56)],624, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
293, dice, Lula, Lizandro,4,0,,,,4,true, [2023-09-26 09:15(17.520)],460, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
294, dice, Lula, Lizandro,8,2,,,,8,true, [2023-09-26 09:15(19.440)],916, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
295, dice, Lula, Lizandro,7,8,,,,8,true, [2023-09-26 09:15(21.48)],603, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
296, dice, Lula, Lizandro,7,3,,,,7,true, [2023-09-26 09:15(23.208)],1157, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
297, dice, Lula, Lizandro,2,0,,,,2,true, [2023-09-26 09:15(24.904)],691, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
298, dice, Lula, Lizandro,9,0,,,,9,true, [2023-09-26 09:15(26.408)],495, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
299, dice, Lula, Lizandro,9,8,,,,9,true, [2023-09-26 09:15(28.592)],1178, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
300, dice, Lula, Lizandro,8,9,,,,9,true, [2023-09-26 09:15(30.440)],838, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
301, dice, Lula, Lizandro,0,3,,,,3,true, [2023-09-26 09:15(32.136)],693, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
302, dice, Lula, Lizandro,4,5,,,,5,true, [2023-09-26 09:15(34.760)],959, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
303, dice, Lula, Lizandro,3,9,,,,9,true, [2023-09-26 09:15(36.336)],572, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
304, dice, Lula, Lizandro,8,7,,,,8,true, [2023-09-26 09:15(38.848)],1509, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
305, dice, Lula, Lizandro,2,9,,,,9,true, [2023-09-26 09:15(40.608)],756, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
306, dice, Lula, Lizandro,6,1,,,,6,true, [2023-09-26 09:15(42.136)],524, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
307, dice, Lula, Lizandro,0,6,,,,6,true, [2023-09-26 09:15(43.720)],576, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
308, dice, Lula, Lizandro,6,3,,,,6,true, [2023-09-26 09:15(45.360)],637, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
309, dice, Lula, Lizandro,4,1,,,,4,true, [2023-09-26 09:15(47.9)],643, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
310, dice, Lula, Lizandro,2,7,,,,7,true, [2023-09-26 09:15(48.864)],847, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
311, dice, Lula, Lizandro,4,5,,,,5,true, [2023-09-26 09:15(50.872)],1005, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
312, dice, Lula, Lizandro,7,4,,,,7,true, [2023-09-26 09:15(52.984)],800, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
313, dice, Lula, Lizandro,6,3,,,,6,true, [2023-09-26 09:15(54.600)],601, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
314, dice, Lula, Lizandro,0,6,,,,6,true, [2023-09-26 09:15(56.232)],626, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
315, dice, Lula, Lizandro,7,8,,,,8,true, [2023-09-26 09:15(58.80)],840, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
316, dice, Lula, Lizandro,0,3,,,,3,true, [2023-09-26 09:15(59.608)],525, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
317, dice, Lula, Lizandro,6,5,,,,6,true, [2023-09-26 09:16(01.256)],645, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
